,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
75270,0.227,1926,0.46,"['Georgette Heyer', 'Irina Salkow']",0.636,127596,0.147,0,4ZexJ0yOloFhUXKWfla4Sj,0,11,0.382,-22.124,1,Kapitel 282 - Der Page und die Herzogin,1,1926,0.94,80.802
1252,0.775,1928,0.912,['Benny Goodman'],0.618,255227,0.829,0,3aNe3EWNK7GACBChhcxjJ2,0.871,7,0.964,-7.57,0,Roll 'Em,14,1928,0.109,98.192
22864,0.69,1940,0.53,['Э?не?? Хеминг??й'],0.715,110232,0.114,1,0OSl0DkfBKj1zVS5E4bfGg,0,1,0.821,-17.151,0,Ча??? 93.4 & Ча??? 94.1 - ?о ком звони? колокол,0,1940,0.949,83.562
93249,0.36,1936,0.975,"['Ludwig van Beethoven', 'Wiener Philharmoniker', 'Herbert von Karajan']",0.28,530147,0.444,0,06dDqcvNmseFsQlOR2Tj9t,0.895,0,0.0835,-10.157,1,"Symphony No. 5 in C Minor, Op. 67: IV. Allegro",0,1936,0.0361,85.069
130374,0.861,1968,0.0573,['Muddy Waters'],0.385,290893,0.721,0,6jmwHDNF51JUs3espodoAL,5.89E-05,2,0.113,-7.496,1,(I'm Your) Hoochie Coochie Man,24,1968,0.0396,147.472
130906,0.964,1970,0.398,['Shuggie Otis'],0.745,160893,0.676,0,1IJXQNOE1ALLzIRBuyhCMw,0.147,5,0.0525,-11.089,1,Bootie Cooler,25,1970,0.0282,111.694
10605,0.751,1974,0.366,['Mac Davis'],0.539,255267,0.379,0,6G6txAgWVFlaX2uCqfMc2Z,0,2,0.173,-13.956,1,Texas In My Rear View Mirror,42,1974-02-27,0.107,75.387
7695,0.81,1960,0.856,['Blossom Dearie'],0.665,131320,0.18,0,5ozOHz9mYCxDt86RKU6Ypq,0,1,0.121,-17.758,1,Rhode Island Is Famous For You,38,1960-01-01,0.0688,95.026
40546,0.377,1936,0.993,['Sarla Devi'],0.463,200047,0.133,0,1XNBuB73RLNvo4WpB84dHI,0.852,8,0.411,-11.079,1,Har Ghadi Ke Mamse Dil,0,1936-12-31,0.0903,72.086
156397,0.739,1949,0.989,['Narayan Dutt'],0.786,143424,0.13,0,42nJ5t1Fv8hI1IKySWpPob,0.00284,8,0.192,-8.176,0,Chal Diwana,0,1949-12-31,0.472,82.092
